time,data
0:00,3.17
0:03,3.164
0:06,3.22
0:09,3.4
0:12,3.612
0:15,3.84
0:18,3.894
0:21,3.954
0:24,4.026
0:27,3.982
0:30,3.88
0:33,3.61
0:36,3.486
0:39,3.654
0:42,3.494
0:45,3.17
0:48,3.422
0:51,3.482
0:54,3.158
0:57,3.218
1:00,3.47
1:03,3.44
1:06,3.466
1:09,3.604
1:12,3.766
1:15,3.94
1:18,3.724
1:21,3.56
1:24,3.5
1:27,3.344
1:30,3.14
1:33,3.284
1:36,3.33
1:39,3.18
1:42,3.314
1:45,3.59
1:48,3.272
1:51,3.188
1:54,3.572
1:57,3.6
2:00,3.45
2:03,3.408
2:06,3.432
2:09,3.588
2:12,3.548
2:15,3.41
2:18,3.536
2:21,3.566
2:24,3.404
2:27,3.318
2:30,3.27
2:33,3.666
2:36,3.95
2:39,4.01
2:42,4.062
2:45,4.11
2:48,3.594
2:51,3.318
2:54,3.522
2:57,3.466
3:00,3.28
3:03,3.49
3:06,3.574
3:09,3.406
3:12,3.51
3:15,3.75
3:18,3.774
3:21,3.762
3:24,3.678
3:27,3.73
3:30,3.85
3:33,3.436
3:36,3.156
3:39,3.144
3:42,3.084
3:45,3
3:48,3.228
3:51,3.418
3:54,3.532
3:57,3.602
4:00,3.65
4:03,3.776
4:06,3.816
4:09,3.684
4:12,3.724
4:15,3.85
4:18,3.658
4:21,3.472
4:24,3.298
4:27,3.072
4:30,2.82
4:33,3.204
4:36,3.486
4:39,3.564
4:42,3.554
4:45,3.5
4:48,3.536
4:51,3.496
4:54,3.304
4:57,3.492
5:00,3.87
5:03,3.804
5:06,3.678
5:09,3.432
5:12,3.326
5:15,3.29
5:18,3.158
5:21,3.176
5:24,3.494
5:27,3.664
5:30,3.76
5:33,3.502
5:36,3.364
5:39,3.466
5:42,3.64
5:45,3.85
5:48,3.934
5:51,3.93
5:54,3.75
5:57,3.614
6:00,3.5
6:03,3.572
6:06,3.67
6:09,3.82
6:12,3.814
6:15,3.73
6:18,3.538
6:21,3.446
6:24,3.554
6:27,3.59
6:30,3.59
6:33,3.602
6:36,3.696
6:39,3.954
6:42,4
6:45,3.94
6:48,3.922
6:51,3.924
6:54,3.966
6:57,3.9
7:00,3.78
7:03,4.014
7:06,4.228
7:09,4.402
7:12,4.332
7:15,4.14
7:18,3.864
7:21,3.768
7:24,4.032
7:27,4.196
7:30,4.31
7:33,4.214
7:36,4.22
7:39,4.43
7:42,4.792
7:45,5.23
7:48,4.96
7:51,4.838
7:54,5.012
7:57,4.87
8:00,4.57
8:03,4.666
8:06,4.71
8:09,4.65
8:12,4.654
8:15,4.69
8:18,4.486
8:21,4.198
8:24,3.742
8:27,3.734
8:30,3.95
8:33,4.076
8:36,4.108
8:39,3.952
8:42,3.84
8:45,3.75
8:48,3.966
8:51,4.11
8:54,4.11
8:57,3.998
9:00,3.83
9:03,4.436
9:06,4.818
9:09,4.752
9:12,4.658
9:15,4.55
9:18,4.976
9:21,5.32
9:24,5.5
9:27,5.612
9:30,5.69
9:33,5.384
9:36,5.074
9:39,4.756
9:42,4.362
9:45,3.93
9:48,4.464
9:51,4.804
9:54,4.756
9:57,5.016
10:00,5.43
10:03,5.094
10:06,4.754
10:09,4.406
10:12,4.398
10:15,4.56
10:18,4.566
10:21,4.588
10:24,4.642
10:27,4.708
10:30,4.78
10:33,4.984
10:36,5.108
10:39,5.072
10:42,5.02
10:45,4.96
10:48,4.714
10:51,4.608
10:54,4.782
10:57,4.924
11:00,5.05
11:03,4.978
11:06,4.922
11:09,4.898
11:12,5.014
11:15,5.2
11:18,5.08
11:21,5.07
11:24,5.28
11:27,5.178
11:30,4.92
11:33,4.722
11:36,4.498
11:39,4.222
11:42,4.47
11:45,4.98
11:48,4.854
11:51,4.74
11:54,4.65
11:57,4.544
12:00,4.43
12:03,4.874
12:06,5.11
12:09,4.93
12:12,4.874
12:15,4.88
12:18,4.592
12:21,4.45
12:24,4.6
12:27,4.882
12:30,5.23
12:33,5.164
12:36,5.076
12:39,4.944
12:42,4.804
12:45,4.66
12:48,4.906
12:51,5.152
12:54,5.398
12:57,5.464
13:00,5.44
13:03,5.05
13:06,4.816
13:09,4.894
13:12,4.948
13:15,4.99
13:18,4.762
13:21,4.57
13:24,4.45
13:27,4.462
13:30,4.54
13:33,4.78
13:36,4.962
13:39,5.028
13:42,5.082
13:45,5.13
13:48,5.082
13:51,5.016
13:54,4.914
13:57,5
14:00,5.18
14:03,4.88
14:06,4.66
14:09,4.6
14:12,4.536
14:15,4.47
14:18,4.62
14:21,4.85
14:24,5.24
14:27,5.29
14:30,5.17
14:33,4.726
14:36,4.498
14:39,4.702
14:42,5.102
14:45,5.6
14:48,5.384
14:51,5.056
14:54,4.504
14:57,4.392
15:00,4.5
15:03,4.92
15:06,5.188
15:09,5.152
15:12,5.236
15:15,5.38
15:18,5.512
15:21,5.64
15:24,5.76
15:27,5.92
15:30,6.1
15:33,5.656
15:36,5.256
15:39,4.944
15:42,4.672
15:45,4.42
15:48,4.426
15:51,4.468
15:54,4.582
15:57,4.388
16:00,4.04
16:03,4.238
16:06,4.378
16:09,4.402
16:12,4.63
16:15,4.96
16:18,5.734
16:21,5.91
16:24,4.89
16:27,5.022
16:30,5.73
16:33,6.234
16:36,6.778
16:39,7.402
16:42,6.914
16:45,5.87
16:48,4.85
16:51,4.156
16:54,4.114
16:57,4.688
17:00,5.57
17:03,5.51
17:06,5.406
17:09,5.214
17:12,4.894
17:15,4.51
17:18,4.714
17:21,4.854
17:24,4.866
17:27,4.914
17:30,4.98
17:33,5.088
17:36,5.23
17:39,5.44
17:42,5.458
17:45,5.38
17:48,5.212
17:51,5.058
17:54,4.932
17:57,4.63
18:00,4.24
18:03,5.422
18:06,6.282
18:09,6.498
18:12,6.514
18:15,6.43
18:18,6.61
18:21,6.806
18:24,7.034
18:27,6.774
18:30,6.27
18:33,5.898
18:36,5.716
18:39,5.914
18:42,6.096
18:45,6.27
18:48,6.366
18:51,6.446
18:54,6.494
18:57,6.382
19:00,6.19
19:03,6.484
19:06,6.672
19:09,6.648
19:12,6.56
19:15,6.44
19:18,6.218
19:21,6.142
19:24,6.358
19:27,6.462
19:30,6.51
19:33,6.624
19:36,6.596
19:39,6.284
19:42,6.096
19:45,5.97
19:48,6.132
19:51,6.31
19:54,6.52
19:57,6.65
20:00,6.74
20:03,6.512
20:06,6.272
20:09,6.008
20:12,6.004
20:15,6.13
20:18,6.49
20:21,6.568
20:24,6.082
20:27,5.68
20:30,5.32
20:33,5.416
20:36,5.694
20:39,6.336
20:42,6.374
20:45,6.11
20:48,5.912
20:51,5.62
20:54,5.14
20:57,5.18
21:00,5.48
21:03,5.498
21:06,5.384
21:09,5.006
21:12,4.716
21:15,4.47
21:18,4.434
21:21,4.592
21:24,5.138
21:27,5.248
21:30,5.14
21:33,4.846
21:36,4.58
21:39,4.37
21:42,4.384
21:45,4.51
21:48,4.816
21:51,4.94
21:54,4.7
21:57,4.572
22:00,4.5
22:03,4.464
22:06,4.564
22:09,4.936
22:12,5.048
22:15,5.03
22:18,4.748
22:21,4.52
22:24,4.4
22:27,4.436
22:30,4.55
22:33,4.4
22:36,4.25
22:39,4.1
22:42,3.95
22:45,3.8
22:48,3.914
22:51,4.076
22:54,4.334
22:57,4.332
23:00,4.2
23:03,4.314
23:06,4.25
23:09,3.83
23:12,3.75
23:15,3.84
23:18,4.02
23:21,4.118
23:24,4.052
23:27,3.982
23:30,3.91
23:33,3.898
23:36,3.968
23:39,4.202
23:42,4.052
23:45,3.71
23:48,3.848
23:51,3.918
23:54,3.852
23:57,3.83
