tempo;PV_real;PV_previsao;custo_energia_imp;custo_energia_exp;p_rede_imp_ref;p_rede_exp_ref;PV_backup
0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0
23;0;0;0;0;0;0;0
24;0;0;0;0;0;0;0
25;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0
29;0.09;0;0;0;0;0;0.09
30;0.22;0;0;0;0;0;0.22
31;0.34;0;0;0;0;0;0.34
32;0.38;0;0;0;0;0;0.38
33;1.3;0;0;0;0;0;1.3
34;2.47;0;0;0;0;0;2.47
35;2.33;0;0;0;0;0;2.33
36;2.95;0;0;0;0;0;2.95
37;3.3;0;0;0;0;0;3.3
38;3.62;0;0;0;0;0;3.62
39;3.95;0;0;0;0;0;3.95
40;4.25;0;0;0;0;0;4.25
41;4.5;0;0;0;0;0;4.5
42;4.77;0;0;0;0;0;4.77
43;5;0;0;0;0;0;5
44;5.22;0;0;0;0;0;5.22
45;5.41;0;0;0;0;0;5.41
46;5.57;0;0;0;0;0;5.57
47;5.7;0;0;0;0;0;5.7
48;5.8;0;0;0;0;0;5.8
49;5.85;0;0;0;0;0;5.85
50;5.88;0;0;0;0;0;5.88
51;5.87;0;0;0;0;0;5.87
52;5.83;0;0;0;0;0;5.83
53;5.77;0;0;0;0;0;5.77
54;5.67;0;0;0;0;0;5.67
55;5.56;0;0;0;0;0;5.56
56;5.41;0;0;0;0;0;5.41
57;5.24;0;0;0;0;0;5.24
58;5.04;0;0;0;0;0;5.04
59;4.67;0;0;0;0;0;4.67
60;4.58;0;0;0;0;0;4.58
61;4.3;0;0;0;0;0;4.3
62;3.98;0;0;0;0;0;3.98
63;3.63;0;0;0;0;0;3.63
64;3.26;0;0;0;0;0;3.26
65;2.89;0;0;0;0;0;2.89
66;2.52;0;0;0;0;0;2.52
67;2.12;0;0;0;0;0;2.12
68;1.72;0;0;0;0;0;1.72
69;1.33;0;0;0;0;0;1.33
70;0.94;0;0;0;0;0;0.94
71;0.57;0;0;0;0;0;0.57
72;0.11;0;0;0;0;0;0.11
73;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0
75;0;0;0;0;0;0;0
76;0;0;0;0;0;0;0
77;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0
79;0;0;0;0;0;0;0
