tempo;PV_real;PV_previsao;custo_energia_imp;custo_energia_exp;p_rede_imp_ref;p_rede_exp_ref
0;0.0;0.0;0.47;0.47;0.0;0.0
1;0.0;0.0;0.47;0.47;0.0;0.0
2;0.0;0.0;0.47;0.47;0.0;0.0
3;0.0;0.0;0.47;0.47;0.0;0.0
4;0.0;0.0;0.47;0.47;0.0;0.0
5;0.0;0.0;0.47;0.47;0.0;0.0
6;0.0;0.0;0.47;0.47;0.0;0.0
7;0.0;0.0;0.47;0.47;0.0;0.0
8;0.0;0.0;0.47;0.47;0.0;0.0
9;0.0;0.0;0.47;0.47;0.0;0.0
10;0.0;0.0;0.47;0.47;0.0;0.0
11;0.0;0.0;0.47;0.47;0.0;0.0
12;0.0;0.0;0.47;0.47;0.0;0.0
13;0.0;0.0;0.47;0.47;0.0;0.0
14;0.0;0.0;0.47;0.47;0.0;0.0
15;0.0;0.0;0.47;0.47;0.0;0.0
16;0.0;0.0;0.47;0.47;0.0;0.0
17;0.0;0.0;0.47;0.47;0.0;0.0
18;0.0;0.0;0.47;0.47;0.0;0.0
19;0.0;0.0;0.47;0.47;0.0;0.0
20;0.0;0.0;0.47;0.47;0.0;0.0
21;0.0;0.0;0.47;0.47;0.0;0.0
22;0.0;0.0;0.47;0.47;0.0;0.0
23;0.0;0.0;0.47;0.47;0.0;0.0
24;0.0;0.0;0.47;0.47;0.0;0.0
25;0.0;0.0;0.47;0.47;0.0;0.0
26;0.0;0.0;0.47;0.47;0.0;0.0
27;0.0;0.0;0.47;0.47;0.0;0.0
28;0.0;0.0;0.47;0.47;0.0;0.0
29;0.09;0.0;0.47;0.47;0.0;0.0
30;0.22;0.0;0.47;0.47;0.0;0.0
31;0.34;0.0;0.47;0.47;0.0;0.0
32;0.38;0.0;0.47;0.47;0.0;0.0
33;1.3;0.0;0.47;0.47;0.0;0.0
34;2.47;0.0;0.47;0.47;0.0;0.0
35;2.33;0.0;0.47;0.47;0.0;0.0
36;2.95;0.0;0.47;0.47;0.0;0.0
37;3.3;0.0;0.47;0.47;0.0;0.0
38;3.62;0.0;0.47;0.47;0.0;0.0
39;3.95;0.0;0.47;0.47;0.0;0.0
40;4.25;0.0;0.47;0.47;0.0;0.0
41;4.5;0.0;0.47;0.47;0.0;0.0
42;4.77;0.0;0.47;0.47;0.0;0.0
43;5.0;0.0;0.47;0.47;0.0;0.0
44;5.22;0.0;0.47;0.47;0.0;0.0
45;5.41;0.0;0.47;0.47;0.0;0.0
46;5.57;0.0;0.47;0.47;0.0;0.0
47;5.7;0.0;0.47;0.47;0.0;0.0
48;5.8;0.0;0.47;0.47;0.0;0.0
49;5.85;0.0;0.47;0.47;0.0;0.0
50;5.88;0.0;0.47;0.47;0.0;0.0
51;5.87;0.0;0.47;0.47;0.0;0.0
52;5.83;0.0;0.47;0.47;0.0;0.0
53;5.77;0.0;0.47;0.47;0.0;0.0
54;5.67;0.0;0.47;0.47;0.0;0.0
55;5.56;0.0;0.47;0.47;0.0;0.0
56;5.41;0.0;0.47;0.47;0.0;0.0
57;5.24;0.0;0.47;0.47;0.0;0.0
58;5.04;0.0;0.47;0.47;0.0;0.0
59;4.67;0.0;0.47;0.47;0.0;0.0
60;4.58;0.0;0.47;0.47;0.0;0.0
61;4.3;0.0;0.47;0.47;0.0;0.0
62;3.98;0.0;0.47;0.47;0.0;0.0
63;3.63;0.0;0.47;0.47;0.0;0.0
64;3.26;0.0;0.47;0.47;0.0;0.0
65;2.89;0.0;0.47;0.47;0.0;0.0
66;2.52;0.0;0.47;0.47;0.0;0.0
67;2.12;0.0;0.47;0.47;0.0;0.0
68;1.72;0.0;0.65;0.65;0.0;0.0
69;1.33;0.0;0.65;0.65;0.0;0.0
70;0.94;0.0;0.65;0.65;0.0;0.0
71;0.57;0.0;0.65;0.65;0.0;0.0
72;0.11;0.0;1.0;1.0;0.0;0.0
73;0.0;0.0;1.0;1.0;0.0;0.0
74;0.0;0.0;1.0;1.0;0.0;0.0
75;0.0;0.0;1.0;1.0;0.0;0.0
76;0.0;0.0;1.0;1.0;0.0;0.0
77;0.0;0.0;1.0;1.0;0.0;0.0
78;0.0;0.0;1.0;1.0;0.0;0.0
79;0.0;0.0;1.0;1.0;0.0;0.0
80;0.0;0.0;1.0;1.0;0.0;0.0
81;0.0;0.0;1.0;1.0;0.0;0.0
82;0.0;0.0;1.0;1.0;0.0;0.0
83;0.0;0.0;1.0;1.0;0.0;0.0
84;0.0;0.0;0.65;0.65;0.0;0.0
85;0.0;0.0;0.65;0.65;0.0;0.0
86;0.0;0.0;0.65;0.65;0.0;0.0
87;0.0;0.0;0.65;0.65;0.0;0.0
88;0.0;0.0;0.47;0.47;0.0;0.0
89;0.0;0.0;0.47;0.47;0.0;0.0
90;0.0;0.0;0.47;0.47;0.0;0.0
91;0.0;0.0;0.47;0.47;0.0;0.0
92;0.0;0.0;0.47;0.47;0.0;0.0
93;0.0;0.0;0.47;0.47;0.0;0.0
94;0.0;0.0;0.47;0.47;0.0;0.0
95;0.0;0.0;0.47;0.47;0.0;0.0
96;0.0;0.0;0.47;0.47;1.0;0.0
97;0.0;0.0;0.47;0.47;1.0;0.0
98;0.0;0.0;0.47;0.47;1.0;0.0
99;0.0;0.0;0.47;0.47;1.0;0.0
100;0.0;0.0;0.47;0.47;1.0;0.0
101;0.0;0.0;0.47;0.47;1.0;0.0
102;0.0;0.0;0.47;0.47;1.0;0.0
103;0.0;0.0;0.47;0.47;1.0;0.0
104;0.0;0.0;0.47;0.47;1.0;0.0
105;0.0;0.0;0.47;0.47;1.0;0.0
106;0.0;0.0;0.47;0.47;1.0;0.0
107;0.0;0.0;0.47;0.47;1.0;0.0
108;0.0;0.0;0.47;0.47;1.0;0.0
109;0.0;0.0;0.47;0.47;1.0;0.0
110;0.0;0.0;0.47;0.47;1.0;0.0
111;0.0;0.0;0.47;0.47;0.68;0.0
112;0.0;0.0;0.47;0.47;0.5;0.0
113;0.0;0.0;0.47;0.47;0.5;0.0
114;0.0;0.0;0.47;0.47;0.5;0.0
115;0.0;0.0;0.47;0.47;0.5;0.0
116;0.0;0.0;0.47;0.47;0.5;0.0
117;0.0;0.0;0.47;0.47;0.5;0.0
118;0.0;0.0;0.47;0.47;0.5;0.0
119;0.0;0.0;0.47;0.47;0.5;0.0
120;0.0;0.0;0.47;0.47;0.5;0.0
121;0.0;0.0;0.47;0.47;0.5;0.0
122;0.0;0.0;0.47;0.47;0.16333333;0.0
123;0.0;0.0;0.47;0.47;0.0;0.0
124;0.1;0.0;0.47;0.47;0.0;0.0
125;0.44;0.03;0.47;0.47;0.0;0.0
126;0.25;0.10333333333333333;0.47;0.47;0.0;0.0
127;1.05;0.21666666666666667;0.47;0.47;0.0;0.0
128;1.5;0.31333333333333335;0.47;0.47;0.0;0.0
129;1.94;0.6733333333333333;0.47;0.47;0.0;0.0
130;2.32;1.3833333333333335;0.47;0.47;0.0;0.38333333
131;2.35;2.0333333333333337;0.47;0.47;0.0;1.0333333
132;3.08;2.5833333333333335;0.47;0.47;0.0;1.5833333
