,amostra,hora,PV_real,PV_previsao,k_pv,k_pv_x_PV,load_real,load_previsao,custo_energia_imp,custo_energia_exp,p_rede_imp_ref,p_rede_exp_ref,p_ch_bat_est_cps,p_dc_bat_est_cps,p_est_total_cps,soc_est,p_dc_SC_cps,p_ch_SC_cps,soc_SC,p_SC_total_cps,balance
0,288,0:00,0.0,0.0,1.0,0.0,0.163896104,0.163896104,0,0,0,0,0.0,0.16221398,0.16221398,0.9,0.0016821276,0.0,0.5,0.0016821276,0
1,289,0:05,0.0,0.0,1.0,0.0,0.152207792,0.152207792,0,0,0,0,0.0,0.16221398,0.16221398,0.89887802,0.0,0.010006184,0.4995169,-0.010006184,0
2,290,0:10,0.0,0.0,1.0,0.0,0.167272727,0.167272727,0,0,0,0,0.0,0.16221398,0.16221398,0.89775604,0.0050587506,0.0,0.50239065,0.0050587506,0
3,291,0:15,0.0,0.0,1.0,0.0,0.16987013,0.16987013,0,0,0,0,0.0,0.16221398,0.16221398,0.89663406,0.0076561536,0.0,0.50093779,0.0076561536,0
4,292,0:20,0.0,0.0,1.0,0.0,0.157142857,0.157142857,0,0,0,0,0.0,0.16221398,0.16221398,0.89551208,0.0,0.0050711194,0.49873896,-0.0050711194,0
5,293,0:25,0.0,0.0,1.0,0.0,0.154025974,0.154025974,0,0,0,0,0.0,0.16221398,0.16221398,0.8943901,0.0,0.0081880024,0.50019537,-0.0081880024,0
6,294,0:30,0.0,0.0,1.0,0.0,0.168051948,0.168051948,0,0,0,0,0.0,0.16221398,0.16221398,0.89326812,0.0058379716,0.0,0.50254694,0.0058379716,0
7,295,0:35,0.0,0.0,1.0,0.0,0.176103896,0.176103896,0,0,0,0,0.0,0.16221398,0.16221398,0.89214614,0.01388992,0.0,0.50087029,0.01388992,0
8,296,0:40,0.0,0.0,1.0,0.0,0.170649351,0.170649351,0,0,0,0,0.0,0.16221398,0.16221398,0.89102416,0.0084353746,0.0,0.49688115,0.0084353746,0
9,297,0:45,0.0,0.0,1.0,0.0,0.165974026,0.165974026,0,0,0,0,0.0,0.16221398,0.16221398,0.88990218,0.0037600496,0.0,0.49445853,0.0037600496,0
10,298,0:50,0.0,0.0,1.0,0.0,0.16,0.16,0,0,0,0,0.0,0.16221398,0.16221398,0.8887802,0.0,0.0022139764,0.49337866,-0.0022139764,0
11,299,0:55,0.0,0.0,1.0,0.0,0.156363636,0.156363636,0,0,0,0,0.0,0.16221398,0.16221398,0.88765822,0.0,0.0058503404,0.4940145,-0.0058503404,0
12,300,1:00,0.0,0.0,1.0,0.0,0.163116883,0.163116883,0,0,0,0,0.0,0.16221398,0.16221398,0.88653624,0.00090290657,0.0,0.49569471,0.00090290657,0
13,301,1:05,0.0,0.0,1.0,0.0,0.158441558,0.158441558,0,0,0,0,0.0,0.16221398,0.16221398,0.88541426,0.0,0.0037724184,0.49543539,-0.0037724184,0
14,302,1:10,0.0,0.0,1.0,0.0,0.150909091,0.150909091,0,0,0,0,0.0,0.16221398,0.16221398,0.88429228,0.0,0.011304885,0.49651882,-0.011304885,0
15,303,1:15,0.0,0.0,1.0,0.0,0.155844156,0.155844156,0,0,0,0,0.0,0.16221398,0.16221398,0.8831703,0.0,0.0063698204,0.49976555,-0.0063698204,0
16,304,1:20,0.0,0.0,1.0,0.0,0.165194805,0.165194805,0,0,0,0,0.0,0.16221398,0.16221398,0.88204832,0.0029808286,0.0,0.50159495,0.0029808286,0
17,305,1:25,0.0,0.0,1.0,0.0,0.164935065,0.164935065,0,0,0,0,0.0,0.16221398,0.16221398,0.88092634,0.0027210886,0.0,0.50073886,0.0027210886,0
18,306,1:30,0.0,0.0,1.0,0.0,0.164415584,0.164415584,0,0,0,0,0.0,0.16221398,0.16221398,0.87980436,0.0022016076,0.0,0.49995737,0.0022016076,0
