,hora,p_rede_imp_ref,p_rede_exp_ref,soc_est_ref,custo_energia_imp,custo_energia_exp,PV_real,PV_previsao,PV_previsao_off,load_real,load_previsao,cx_bike_real_0,cx_bike_real_1,cx_bike_real_2,cx_bike_real_3,cx_bike_real_4,cx_bike_real_5,cx_bike_real_6,cx_bike_real_7,cx_bike_real_8,cx_bike_real_9,soc_bike_real_0,soc_bike_real_1,soc_bike_real_2,soc_bike_real_3,soc_bike_real_4,soc_bike_real_5,soc_bike_real_6,soc_bike_real_7,soc_bike_real_8,soc_bike_real_9,cx_bike_previsao_0,cx_bike_previsao_1,cx_bike_previsao_2,cx_bike_previsao_3,cx_bike_previsao_4,cx_bike_previsao_5,cx_bike_previsao_6,cx_bike_previsao_7,cx_bike_previsao_8,cx_bike_previsao_9,soc_bike_previsao_0,soc_bike_previsao_1,soc_bike_previsao_2,soc_bike_previsao_3,soc_bike_previsao_4,soc_bike_previsao_5,soc_bike_previsao_6,soc_bike_previsao_7,soc_bike_previsao_8,soc_bike_previsao_9,p_rede_imp,flag_imp,p_rede_exp,flag_exp,p_ch_bike_cps_0,p_ch_bike_cps_1,p_ch_bike_cps_2,p_ch_bike_cps_3,p_ch_bike_cps_4,p_ch_bike_cps_5,p_ch_bike_cps_6,p_ch_bike_cps_7,p_ch_bike_cps_8,p_ch_bike_cps_9,p_dc_bike_cps_0,p_dc_bike_cps_1,p_dc_bike_cps_2,p_dc_bike_cps_3,p_dc_bike_cps_4,p_dc_bike_cps_5,p_dc_bike_cps_6,p_dc_bike_cps_7,p_dc_bike_cps_8,p_dc_bike_cps_9,cx_bike_real_total,SOC_bike_real_total,p_ch_bike_total,p_dc_bike_total,p_bike_total,cx_bike_previsao_total,SOC_bike_previsao_total,SOC_bike_offline,SOC_est_offline,p_ch_est_cps,p_dc_est_cps,p_est_total,soc_est,p_rede,p_rede_ref,revenue_accumulated_energy,revenue_accumulated_rental,total_revenue_accumulated
0,0:00,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.45,0,1,1,1,1,1,1,1,1,1,1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03456,0.0,0.0,0.0,0.0,0.0,0.0,0.45,10,0.55,0.0,0.48456,0.48456,10,0,0,0,0.49476408,0.0,-0.49476408,0.5,0.51020408,0.51020408,0.0,0,0.0
1,0:15,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.5,0,1,1,1,1,1,1,1,1,1,1,0.1,0.2,0.28160919540229884,0.4,0.5,0.6,0.7,0.8,0.9,0.7605363984674329,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.083016901,0.0,0.0,0.0,0.0,0.0,0.10872,0.274799,0.41608408,0.45,0.0,0.18276974,0.41544,0.45,0.45,0.45,10,0.5242145593869733,0.083016901,3.1978128200000002,3.114795919,10,0,0,0,3.125,0.0,-3.125,0.50593716896,0.51020408,0.51020408,-0.08035714259999999,0,-0.08035714259999999
2,0:30,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.55,0,1,1,1,1,1,1,1,1,1,1,0.042145593869731816,0.05376809280544914,0.060193656875266066,0.16053639846743298,0.5357831469827586,0.5027406662409536,0.4789272030651341,0.560536398467433,0.660536398467433,0.5210727969348659,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039031,0.11311592,0.30168,0.45,0.45,0.410969,0.45,0.45,0.45,10,0.3576240352176458,0.0,3.11479592,3.11479592,10,0,0,0,3.125,0.0,-3.125,0.5434371689599999,0.51020408,0.51020408,-0.16071428519999997,0,-0.16071428519999997
3,0:45,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.5,0,1,1,1,1,1,1,1,1,1,1,0.042145593869731816,0.03299808429118775,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,0.06201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.19187286876383566,0.0,0.14121,0.14121,10,0,0,0,0.15141408,0.0,-0.15141408,0.5809371689599999,0.51020408,0.51020408,-0.24107142779999996,0,-0.24107142779999996
4,1:00,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.5,0,1,1,1,1,1,1,1,1,1,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1843585009477437,0.0,0.0,0.0,10,0,0,0,0.01020408,0.0,-0.01020408,0.58275413792,0.51020408,0.51020408,-0.32142857039999995,0,-0.32142857039999995
5,1:15,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.5,0,1,1,1,1,1,1,1,1,1,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1843585009477437,0.0,0.0,0.0,10,0,0,0,0.01020408,0.0,-0.01020408,0.58287658688,0.51020408,0.51020408,-0.40178571299999993,0,-0.40178571299999993
6,1:30,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.45,0,1,1,1,1,1,1,1,1,1,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1843585009477437,0.0,0.0,0.0,10,0,0,0,0.01020408,0.0,-0.01020408,0.58299903584,0.51020408,0.51020408,-0.4821428555999999,0,-0.4821428555999999
7,1:45,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.5,0,1,1,1,1,1,1,1,1,1,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1843585009477437,0.0,0.0,0.0,10,0,0,0,0.01020408,0.0,-0.01020408,0.5831214848,0.51020408,0.51020408,-0.5624999981999999,0,-0.5624999981999999
8,2:00,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.53,0,1,1,1,1,1,1,1,1,1,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1843585009477437,0.0,0.0,0.0,10,0,0,0,0.01020408,0.0,-0.01020408,0.58324393376,0.51020408,0.51020408,-0.6428571407999999,0,-0.6428571407999999
9,2:15,0.51020408,0.0,0,0.63,0.63,0.0,0.0,0.0,0.54,0,1,1,1,1,1,1,1,1,1,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.29631954545019157,0.2632770647083865,0.26023361004682843,0.3210727969348659,0.4210727969348659,0.2816091954022988,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.51020408,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.1843585009477437,0.0,0.0,0.0,10,0,0,0,0.01020408,0.0,-0.01020408,0.5833663827200001,0.51020408,0.51020408,-0.7232142833999999,0,-0.7232142833999999
