time,t,counter_mb,new_mb_data,operation_mode,p_pv,p_load,p_grid,p_bat,p_sc,soc_bat,soc_sc,cs_p_bat,cs_p_sc,cs_p_grid,cs_k_pv
1/1/2024 0:00,0,0,0,0,0,1.902,0,0,0,0,0,0,0,0,0
1/1/2024 0:15,1,0,0,0,0,2.304,0,0,0,0,0,0,0,0,0
1/1/2024 0:30,2,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0
1/1/2024 0:45,3,0,0,0,0,1.902,0,0,0,0,0,0,0,0,0
1/1/2024 1:00,4,0,0,0,0,2.082,0,0,0,0,0,0,0,0,0
1/1/2024 1:15,5,0,0,0,0,2.364,0,0,0,0,0,0,0,0,0
1/1/2024 1:30,6,0,0,0,0,1.884,0,0,0,0,0,0,0,0,0
1/1/2024 1:45,7,0,0,0,0,2.154,0,0,0,0,0,0,0,0,0
1/1/2024 2:00,8,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0
1/1/2024 2:15,9,0,0,0,0,2.046,0,0,0,0,0,0,0,0,0
1/1/2024 2:30,10,0,0,0,0,1.962,0,0,0,0,0,0,0,0,0
1/1/2024 2:45,11,0,0,0,0,2.466,0,0,0,0,0,0,0,0,0
1/1/2024 3:00,12,0,0,0,0,1.968,0,0,0,0,0,0,0,0,0
1/1/2024 3:15,13,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0
1/1/2024 3:30,14,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0
1/1/2024 3:45,15,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
1/1/2024 4:00,16,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
1/1/2024 4:15,17,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0
1/1/2024 4:30,18,0,0,0,0,1.692,0,0,0,0,0,0,0,0,0
1/1/2024 4:45,19,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0
1/1/2024 5:00,20,0,0,0,0,2.322,0,0,0,0,0,0,0,0,0
1/1/2024 5:15,21,0,0,0,0,1.974,0,0,0,0,0,0,0,0,0
1/1/2024 5:30,22,0,0,0,0,2.256,0,0,0,0,0,0,0,0,0
1/1/2024 5:45,23,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0
1/1/2024 6:00,24,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0
1/1/2024 6:15,25,0,0,0,0,2.238,0,0,0,0,0,0,0,0,0
1/1/2024 6:30,26,0,0,0,0,2.154,0,0,0,0,0,0,0,0,0
1/1/2024 6:45,27,0,0,0,0,2.364,0,0,0,0,0,0,0,0,0
1/1/2024 7:00,28,0,0,0,0.39,2.268,0,0,0,0,0,0,0,0,0
1/1/2024 7:15,29,0,0,0,0.795,2.484,0,0,0,0,0,0,0,0,0
1/1/2024 7:30,30,0,0,0,1.41,2.586,0,0,0,0,0,0,0,0,0
1/1/2024 7:45,31,0,0,0,1.995,3.138,0,0,0,0,0,0,0,0,0
1/1/2024 8:00,32,0,0,0,2.58,2.742,0,0,0,0,0,0,0,0,0
1/1/2024 8:15,33,0,0,0,3.15,2.814,0,0,0,0,0,0,0,0,0
1/1/2024 8:30,34,0,0,0,3.72,2.37,0,0,0,0,0,0,0,0,0
1/1/2024 8:45,35,0,0,0,4.275,2.25,0,0,0,0,0,0,0,0,0
1/1/2024 9:00,36,0,0,0,4.83,2.298,0,0,0,0,0,0,0,0,0
1/1/2024 9:15,37,0,0,0,5.235,2.73,0,0,0,0,0,0,0,0,0
1/1/2024 9:30,38,0,0,0,5.835,3.414,0,0,0,0,0,0,0,0,0
1/1/2024 9:45,39,0,0,0,6.3,2.358,0,0,0,0,0,0,0,0,0
1/1/2024 10:00,40,0,0,0,6.75,3.258,0,0,0,0,0,0,0,0,0
1/1/2024 10:15,41,0,0,0,7.14,2.736,0,0,0,0,0,0,0,0,0
1/1/2024 10:30,42,0,0,0,0,2.868,0,0,0,0,0,0,0,0,0
1/1/2024 10:45,43,0,0,0,7.845,2.976,0,0,0,0,0,0,0,0,0
1/1/2024 11:00,44,0,0,0,8.13,3.03,0,0,0,0,0,0,0,0,0
1/1/2024 11:15,45,0,0,0,8.385,3.12,0,0,0,0,0,0,0,0,0
1/1/2024 11:30,46,0,0,0,8.61,2.952,0,0,0,0,0,0,0,0,0
1/1/2024 11:45,47,0,0,0,8.775,2.988,0,0,0,0,0,0,0,0,0
1/1/2024 12:00,48,0,0,0,8.895,2.658,0,0,0,0,0,0,0,0,0
