,index,time,counter_mb,new_mb_data,operation_mode,p_pv,p_load,p_grid,p_bat,p_sc,soc_bat,soc_sc,p_bat_ref,p_sc_ref,p_grid_ref,k_pv_ref
0,0,1/1/2024 0:00,0,0,0,0,0.291,0,0.291,0,0.6,0.7,0.28574545,0.005254546,0,1
1,1,1/1/2024 0:00,0,0,0,0,0.292,0,0.285,0.007,0.599,0.699,0.28677173,0.005228273,0,1
2,2,1/1/2024 0:00,0,0,0,0,0.293,0,0.286,0.007,0.599,0.699,0.28777173,0.005228273,0,1
3,3,1/1/2024 0:00,0,0,0,0,0.297637411,0,0.287,0.01,0.599,0.699,0.291,0.006,0,1
4,4,1/1/2024 0:00,0,0,0,0,0.297658172,0,0.291,0.006,0.599,0.699,0.291,0.006,0,1
5,5,1/1/2024 0:00,0,0,0,0,0.297678934,0,0.291,0.006,0.599,0.699,0.291,0.006,0,1
6,6,1/1/2024 0:00,0,0,0,0,0.297699696,0,0.291,0.006,0.599,0.699,0.291,0.006,0,1
7,7,1/1/2024 0:00,0,0,0,0,0.297720457,0,0.291,0.006,0.599,0.699,0.291,0.006,0,1
8,8,1/1/2024 0:00,0,0,0,0,0.297741219,0,0.291,0.006,0.599,0.699,0.291,0.006,0,1
9,9,1/1/2024 0:00,0,0,0,0,0.1,0,0.291,-0.19,0.599,0.7,0.094745455,0.005254546,0,1
10,10,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
11,11,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
12,12,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
13,13,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
14,14,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
15,15,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
16,16,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.7,0.094745455,0.005254546,0,1
17,17,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
18,18,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
19,19,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
20,20,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
21,21,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
22,22,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
23,23,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
24,24,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
25,25,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
26,26,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
27,27,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
28,28,1/1/2024 0:00,0,0,0,0,0.1,0,0.094,0.006,0.599,0.699,0.094771727,0.005228273,0,1
