time,counter_mb,new_mb_data,operation_mode,p_pv,p_load,p_grid,p_bat,p_sc,soc_bat,soc_sc,p_bat_ref,p_sc_ref,p_grid_ref,k_pv_ref
1/1/2024 0:00,0,0,0,0,0.297575126,0,0,0,0,0,0,0,0,0
1/1/2024 0:15,0,0,0,0,0.31626056,0,0,0,0,0,0,0,0,0
1/1/2024 0:30,0,0,0,0,0.331059424,0,0,0,0,0,0,0,0,0
1/1/2024 0:45,0,0,0,0,0.25765573,0,0,0,0,0,0,0,0,0
1/1/2024 1:00,0,0,0,0,0.401033445,0,0,0,0,0,0,0,0,0
1/1/2024 1:15,0,0,0,0,0.323780744,0,0,0,0,0,0,0,0,0
1/1/2024 1:30,0,0,0,0,0.329266622,0,0,0,0,0,0,0,0,0
1/1/2024 1:45,0,0,0,0,0.191278253,0,0,0,0,0,0,0,0,0
1/1/2024 2:00,0,0,0,0,0.377559924,0,0,0,0,0,0,0,0,0
1/1/2024 2:15,0,0,0,0,0.269751244,0,0,0,0,0,0,0,0,0
1/1/2024 2:30,0,0,0,0,0.40916613,0,0,0,0,0,0,0,0,0
1/1/2024 2:45,0,0,0,0,0.463069096,0,0,0,0,0,0,0,0,0
1/1/2024 3:00,0,0,0,0,0.396521524,0,0,0,0,0,0,0,0,0
1/1/2024 3:15,0,0,0,0,0.287109354,0,0,0,0,0,0,0,0,0
1/1/2024 3:30,0,0,0,0,0.326586107,0,0,0,0,0,0,0,0,0
1/1/2024 3:45,0,0,0,0,0.302648148,0,0,0,0,0,0,0,0,0
1/1/2024 4:00,0,0,0,0,0.279549847,0,0,0,0,0,0,0,0,0
1/1/2024 4:15,0,0,0,0,0.384908991,0,0,0,0,0,0,0,0,0
1/1/2024 4:30,0,0,0,0,0.338967754,0,0,0,0,0,0,0,0,0
1/1/2024 4:45,0,0,0,0,0.332183593,0,0,0,0,0,0,0,0,0
1/1/2024 5:00,0,0,0,0,0.329920584,0,0,0,0,0,0,0,0,0
1/1/2024 5:15,0,0,0,0,0.281158564,0,0,0,0,0,0,0,0,0
1/1/2024 5:30,0,0,0,0,0.374303501,0,0,0,0,0,0,0,0,0
1/1/2024 5:45,0,0,0,0,0.29483399,0,0,0,0,0,0,0,0,0
1/1/2024 6:00,0,0,0,0,0.386920169,0,0,0,0,0,0,0,0,0
1/1/2024 6:15,0,0,0,0,0.363936767,0,0,0,0,0,0,0,0,0
1/1/2024 6:30,0,0,0,0,0.303985608,0,0,0,0,0,0,0,0,0
1/1/2024 6:45,0,0,0,0,0.289002386,0,0,0,0,0,0,0,0,0
1/1/2024 7:00,0,0,0,0,0.314218208,0,0,0,0,0,0,0,0,0
1/1/2024 7:15,0,0,0,0.11,0.30679368,0,0,0,0,0,0,0,0,0
1/1/2024 7:30,0,0,0,0.24,0.274091423,0,0,0,0,0,0,0,0,0
1/1/2024 7:45,0,0,0,0.33,0.24103866,0,0,0,0,0,0,0,0,0
1/1/2024 8:00,0,0,0,0.39,0.281646426,0,0,0,0,0,0,0,0,0
1/1/2024 8:15,0,0,0,0.37,0.264934132,0,0,0,0,0,0,0,0,0
1/1/2024 8:30,0,0,0,0.44,0.27282193,0,0,0,0,0,0,0,0,0
1/1/2024 8:45,0,0,0,0.5,0.250057089,0,0,0,0,0,0,0,0,0
1/1/2024 9:00,0,0,0,0.59,0.196146936,0,0,0,0,0,0,0,0,0
1/1/2024 9:15,0,0,0,0.73,0.327728698,0,0,0,0,0,0,0,0,0
1/1/2024 9:30,0,0,0,0.69,0.213366302,0,0,0,0,0,0,0,0,0
1/1/2024 9:45,0,0,0,0.82,0.266761275,0,0,0,0,0,0,0,0,0
1/1/2024 10:00,0,0,0,0.8,0.177903964,0,0,0,0,0,0,0,0,0
1/1/2024 10:15,0,0,0,1.02,0.325290759,0,0,0,0,0,0,0,0,0
1/1/2024 10:30,0,0,0,1.34,0.299444427,0,0,0,0,0,0,0,0,0
1/1/2024 10:45,0,0,0,1.11,0.281538592,0,0,0,0,0,0,0,0,0
1/1/2024 11:00,0,0,0,1.05,0.198778452,0,0,0,0,0,0,0,0,0
1/1/2024 11:15,0,0,0,1.12,0.290602519,0,0,0,0,0,0,0,0,0
1/1/2024 11:30,0,0,0,1.11,0.31717704,0,0,0,0,0,0,0,0,0
1/1/2024 11:45,0,0,0,1.65,0.355110836,0,0,0,0,0,0,0,0,0
1/1/2024 12:00,0,0,0,1.26,0.392420825,0,0,0,0,0,0,0,0,0
1/1/2024 12:15,0,0,0,1.59,0.28232744,0,0,0,0,0,0,0,0,0
1/1/2024 12:30,0,0,0,1.25,0.24746536,0,0,0,0,0,0,0,0,0
1/1/2024 12:45,0,0,0,1.26,0.325303344,0,0,0,0,0,0,0,0,0
1/1/2024 13:00,0,0,0,1.82,0.28035052,0,0,0,0,0,0,0,0,0
1/1/2024 13:15,0,0,0,1.55,0.261769278,0,0,0,0,0,0,0,0,0
1/1/2024 13:30,0,0,0,1.13,0.312500181,0,0,0,0,0,0,0,0,0
1/1/2024 13:45,0,0,0,1.43,0.35742677,0,0,0,0,0,0,0,0,0
1/1/2024 14:00,0,0,0,1.58,0.33355123,0,0,0,0,0,0,0,0,0
1/1/2024 14:15,0,0,0,1.28,0.345811794,0,0,0,0,0,0,0,0,0
1/1/2024 14:30,0,0,0,1.11,0.352678663,0,0,0,0,0,0,0,0,0
1/1/2024 14:45,0,0,0,1.27,0.257037314,0,0,0,0,0,0,0,0,0
1/1/2024 15:00,0,0,0,1.17,0.27503748,0,0,0,0,0,0,0,0,0
1/1/2024 15:15,0,0,0,0.85,0.274329365,0,0,0,0,0,0,0,0,0
1/1/2024 15:30,0,0,0,1.04,0.372124139,0,0,0,0,0,0,0,0,0
1/1/2024 15:45,0,0,0,1.01,0.179767303,0,0,0,0,0,0,0,0,0
1/1/2024 16:00,0,0,0,0.38,0.360091378,0,0,0,0,0,0,0,0,0
1/1/2024 16:15,0,0,0,0.62,0.292427168,0,0,0,0,0,0,0,0,0
1/1/2024 16:30,0,0,0,0.24,0.302164491,0,0,0,0,0,0,0,0,0
1/1/2024 16:45,0,0,0,0.24,0.230519373,0,0,0,0,0,0,0,0,0
