time,data
1/1/2024 0:00,3.17
1/1/2024 0:05,3.16
1/1/2024 0:10,3.46
1/1/2024 0:15,3.84
1/1/2024 0:20,3.93
1/1/2024 0:25,4.05
1/1/2024 0:30,3.88
1/1/2024 0:35,3.43
1/1/2024 0:40,3.71
1/1/2024 0:45,3.17
1/1/2024 0:50,3.59
1/1/2024 0:55,3.05
1/1/2024 1:00,3.47
1/1/2024 1:05,3.42
1/1/2024 1:10,3.65
1/1/2024 1:15,3.94
1/1/2024 1:20,3.58
1/1/2024 1:25,3.48
1/1/2024 1:30,3.14
1/1/2024 1:35,3.38
1/1/2024 1:40,3.13
1/1/2024 1:45,3.59
1/1/2024 1:50,3.06
1/1/2024 1:55,3.7
1/1/2024 2:00,3.45
1/1/2024 2:05,3.38
1/1/2024 2:10,3.64
1/1/2024 2:15,3.41
1/1/2024 2:20,3.62
1/1/2024 2:25,3.35
1/1/2024 2:30,3.27
1/1/2024 2:35,3.93
1/1/2024 2:40,4.03
1/1/2024 2:45,4.11
1/1/2024 2:50,3.25
1/1/2024 2:55,3.59
1/1/2024 3:00,3.28
1/1/2024 3:05,3.63
1/1/2024 3:10,3.35
1/1/2024 3:15,3.75
1/1/2024 3:20,3.79
1/1/2024 3:25,3.65
1/1/2024 3:30,3.85
1/1/2024 3:35,3.16
1/1/2024 3:40,3.14
1/1/2024 3:45,3
1/1/2024 3:50,3.38
1/1/2024 3:55,3.57
1/1/2024 4:00,3.65
1/1/2024 4:05,3.86
1/1/2024 4:10,3.64
1/1/2024 4:15,3.85
1/1/2024 4:20,3.53
1/1/2024 4:25,3.24
1/1/2024 4:30,2.82
1/1/2024 4:35,3.46
1/1/2024 4:40,3.59
1/1/2024 4:45,3.5
1/1/2024 4:50,3.56
1/1/2024 4:55,3.24
1/1/2024 5:00,3.87
1/1/2024 5:05,3.76
1/1/2024 5:10,3.35
1/1/2024 5:15,3.29
1/1/2024 5:20,3.07
1/1/2024 5:25,3.6
1/1/2024 5:30,3.76
1/1/2024 5:35,3.33
1/1/2024 5:40,3.5
1/1/2024 5:45,3.85
1/1/2024 5:50,3.99
1/1/2024 5:55,3.69
1/1/2024 6:00,3.5
1/1/2024 6:05,3.62
1/1/2024 6:10,3.87
1/1/2024 6:15,3.73
1/1/2024 6:20,3.41
1/1/2024 6:25,3.59
1/1/2024 6:30,3.59
1/1/2024 6:35,3.61
1/1/2024 6:40,4.04
1/1/2024 6:45,3.94
1/1/2024 6:50,3.91
1/1/2024 6:55,3.98
1/1/2024 7:00,3.78
1/1/2024 7:05,4.17
1/1/2024 7:10,4.46
1/1/2024 7:15,4.14
1/1/2024 7:20,3.68
1/1/2024 7:25,4.12
1/1/2024 7:30,4.31
1/1/2024 7:35,4.15
1/1/2024 7:40,4.5
1/1/2024 7:45,5.23
1/1/2024 7:50,4.78
1/1/2024 7:55,5.07
1/1/2024 8:00,4.57
1/1/2024 8:05,4.73
1/1/2024 8:10,4.63
1/1/2024 8:15,4.69
1/1/2024 8:20,4.35
1/1/2024 8:25,3.59
1/1/2024 8:30,3.95
1/1/2024 8:35,4.16
1/1/2024 8:40,3.9
1/1/2024 8:45,3.75
1/1/2024 8:50,4.11
1/1/2024 8:55,4.11
1/1/2024 9:00,3.83
1/1/2024 9:05,4.84
1/1/2024 9:10,4.73
1/1/2024 9:15,4.55
1/1/2024 9:20,5.26
1/1/2024 9:25,5.56
1/1/2024 9:30,5.69
1/1/2024 9:35,5.18
1/1/2024 9:40,4.65
1/1/2024 9:45,3.93
1/1/2024 9:50,4.82
1/1/2024 9:55,4.74
1/1/2024 10:00,5.43
1/1/2024 10:05,4.87
1/1/2024 10:10,4.29
1/1/2024 10:15,4.56
1/1/2024 10:20,4.57
1/1/2024 10:25,4.66
1/1/2024 10:30,4.78
1/1/2024 10:35,5.12
1/1/2024 10:40,5.06
1/1/2024 10:45,4.96
1/1/2024 10:50,4.55
1/1/2024 10:55,4.84
1/1/2024 11:00,5.05
1/1/2024 11:05,4.93
1/1/2024 11:10,4.89
1/1/2024 11:15,5.2
1/1/2024 11:20,5
1/1/2024 11:25,5.35
1/1/2024 11:30,4.92
1/1/2024 11:35,4.59
1/1/2024 11:40,4.13
1/1/2024 11:45,4.98
1/1/2024 11:50,4.77
1/1/2024 11:55,4.62
1/1/2024 12:00,4.43
1/1/2024 12:05,5.17
1/1/2024 12:10,4.87
1/1/2024 12:15,4.88
1/1/2024 12:20,4.4
1/1/2024 12:25,4.65
1/1/2024 12:30,5.23
1/1/2024 12:35,5.12
1/1/2024 12:40,4.9
1/1/2024 12:45,4.66
1/1/2024 12:50,5.07
1/1/2024 12:55,5.48
1/1/2024 13:00,5.44
1/1/2024 13:05,4.79
1/1/2024 13:10,4.92
1/1/2024 13:15,4.99
1/1/2024 13:20,4.61
1/1/2024 13:25,4.41
1/1/2024 13:30,4.54
1/1/2024 13:35,4.94
1/1/2024 13:40,5.05
1/1/2024 13:45,5.13
1/1/2024 13:50,5.05
1/1/2024 13:55,4.88
1/1/2024 14:00,5.18
1/1/2024 14:05,4.68
1/1/2024 14:10,4.58
1/1/2024 14:15,4.47
1/1/2024 14:20,4.72
1/1/2024 14:25,5.37
1/1/2024 14:30,5.17
1/1/2024 14:35,4.43
1/1/2024 14:40,4.77
1/1/2024 14:45,5.6
1/1/2024 14:50,5.24
1/1/2024 14:55,4.32
1/1/2024 15:00,4.5
1/1/2024 15:05,5.2
1/1/2024 15:10,5.14
1/1/2024 15:15,5.38
1/1/2024 15:20,5.6
1/1/2024 15:25,5.8
1/1/2024 15:30,6.1
1/1/2024 15:35,5.36
1/1/2024 15:40,4.84
1/1/2024 15:45,4.42
1/1/2024 15:50,4.43
1/1/2024 15:55,4.62
1/1/2024 16:00,4.04
1/1/2024 16:05,4.37
1/1/2024 16:10,4.41
1/1/2024 16:15,4.96
1/1/2024 16:20,6.25
1/1/2024 16:25,4.55
1/1/2024 16:30,5.73
1/1/2024 16:35,6.57
1/1/2024 16:40,7.61
1/1/2024 16:45,5.87
1/1/2024 16:50,4.17
1/1/2024 16:55,4.1
1/1/2024 17:00,5.57
1/1/2024 17:05,5.47
1/1/2024 17:10,5.15
1/1/2024 17:15,4.51
1/1/2024 17:20,4.85
1/1/2024 17:25,4.87
1/1/2024 17:30,4.98
1/1/2024 17:35,5.16
1/1/2024 17:40,5.51
1/1/2024 17:45,5.38
1/1/2024 17:50,5.1
1/1/2024 17:55,4.89
1/1/2024 18:00,4.24
1/1/2024 18:05,6.21
1/1/2024 18:10,6.57
1/1/2024 18:15,6.43
1/1/2024 18:20,6.73
1/1/2024 18:25,7.11
1/1/2024 18:30,6.27
1/1/2024 18:35,5.65
1/1/2024 18:40,5.98
1/1/2024 18:45,6.27
1/1/2024 18:50,6.43
1/1/2024 18:55,6.51
1/1/2024 19:00,6.19
1/1/2024 19:05,6.68
1/1/2024 19:10,6.64
1/1/2024 19:15,6.44
1/1/2024 19:20,6.07
1/1/2024 19:25,6.43
1/1/2024 19:30,6.51
1/1/2024 19:35,6.7
1/1/2024 19:40,6.18
1/1/2024 19:45,5.97
1/1/2024 19:50,6.24
